Runs,Dismissed
12.0,1
52.0,1
13.0,1
10.0,1
50.0,1
15.0,1
23.0,1
5.0,1
2.0,1
16.0,1
62.0,1
8.0,1
32.0,1
2.0,1
1.0,1
82.0,1
13.0,1
51.0,1
124.0,1
12.0,0
15.0,1
20.0,1
132.0,1
26.0,1
71.0,1
27.0,1
7.0,1
17.0,1
59.0,0
123.0,1
50.0,1
68.0,1
48.0,1
41.0,1
11.0,1
15.0,1
3.0,1
1.0,1
104.0,1
1.0,1
8.0,1
9.0,1
144.0,1
25.0,1
7.0,1
11.0,1
55.0,1
13.0,1
185.0,0
65.0,1
15.0,1
5.0,1
14.0,1
16.0,1
44.0,1
29.0,1
11.0,1
13.0,1
81.0,1
5.0,1
24.0,1
21.0,1
150.0,1
11.0,1
35.0,1
56.0,0
10.0,1
44.0,1
95.0,1
59.0,0
39.0,1
23.0,0
13.0,1
11.0,0
74.0,1
47.0,1
38.0,1
201.0,1
1.0,1
27.0,1
42.0,1
1.0,1
1.0,1
22.0,1
30.0,1
6.0,1
1.0,1
13.0,1
19.0,1
29.0,1
95.0,0
98.0,1
30.0,1
50.0,1
122.0,1
65.0,1
31.0,0
110.0,0
8.0,1
3.0,1
28.0,1
30.0,1
1.0,1
58.0,1
1.0,1
36.0,1
67.0,1
12.0,1
45.0,0
130.0,0
8.0,1
20.0,1
136.0,1
108.0,1
39.0,1
33.0,1
69.0,1
29.0,1
16.0,1
19.0,1
1.0,1
49.0,1
112.0,1
47.0,1
12.0,1
77.0,1
64.0,0
40.0,0
1.0,1
45.0,1
53.0,1
16.0,1
38.0,1
21.0,1
54.0,1
22.0,1
94.0,1
165.0,0
102.0,1
19.0,1
108.0,1
1.0,1
39.0,0
14.0,1
1.0,1
1.0,1
68.0,0
107.0,1
90.0,1
26.0,1
20.0,1
25.0,1
51.0,1
39.0,1
18.0,1
84.0,1
97.0,1
33.0,0
38.0,1
13.0,1
20.0,1
115.0,0
5.0,1
8.0,0
6.0,1
4.0,1
29.0,1
42.0,1
132.0,1
4.0,1
18.0,1
1.0,1
5.0,1
2.0,1
19.0,1
21.0,1
22.0,1
68.0,1
19.0,1
10.0,1
18.0,1
55.0,1
35.0,1
1.0,1
17.0,1
7.0,1
14.0,1
111.0,1
44.0,1
36.0,1
